Name,Symbol,Invested Amount,Price,Change,Change Percent,Previous Close,Open,Market Cap,Volume
Bitcoin,BTC-USD,10000,"104,960.66","-1,866.73",-1.75%,"104,839.47","104,839.47",2.08T,"31,967,406,080"
Solana,SOL-USD,2000,258.88,-3.28,-1.25%,253.37,253.37,125.982B,"5,623,902,208"
